ICD,Desc
A04.8,Other specified bacterial intestinal infections 
A04.8,Other specified bacterial intestinal infections 
A04.8,Other specified bacterial intestinal infections 
A04.9,Bacterial intestinal infection unspecified 
A08.0,Rotaviral enteritis 
A08.2,Adenoviral enteritis 
A08.11,Acute gastroenteropathy due to Norwalk agent 
A08.19,Acute gastroenteropathy due to other small round viruses 
A08.31,Calicivirus enteritis 
A08.32,Astrovirus enteritis 
A08.39,Other viral enteritis 
A08.39,Other viral enteritis 
A08.8,Other specified intestinal infections 
A09,Infectious gastroenteritis and colitis unspecified 
A09,Infectious gastroenteritis and colitis unspecified 
A09,Infectious gastroenteritis and colitis unspecified 
A09,Infectious gastroenteritis and colitis unspecified 
A15.7,Primary respiratory tuberculosis 
A15.7,Primary respiratory tuberculosis 
A15.7,Primary respiratory tuberculosis 
A15.7,Primary respiratory tuberculosis 
A15.7,Primary respiratory tuberculosis 
A15.7,Primary respiratory tuberculosis 
A15.7,Primary respiratory tuberculosis 
A15.6,Tuberculous pleurisy 
A15.6,Tuberculous pleurisy 
A15.6,Tuberculous pleurisy 
A15.6,Tuberculous pleurisy 
A15.6,Tuberculous pleurisy 
A15.6,Tuberculous pleurisy 
A15.6,Tuberculous pleurisy 
A15.7,Primary respiratory tuberculosis 
A15.7,Primary respiratory tuberculosis 
A15.7,Primary respiratory tuberculosis 
A15.7,Primary respiratory tuberculosis 
A15.7,Primary respiratory tuberculosis 
A15.7,Primary respiratory tuberculosis 
A15.7,Primary respiratory tuberculosis 
A15.7,Primary respiratory tuberculosis 
A15.7,Primary respiratory tuberculosis 
A15.7,Primary respiratory tuberculosis 
A15.7,Primary respiratory tuberculosis 
A15.7,Primary respiratory tuberculosis 
A15.7,Primary respiratory tuberculosis 
A15.7,Primary respiratory tuberculosis 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.5,Tuberculosis of larynx trachea and bronchus 
A15.5,Tuberculosis of larynx trachea and bronchus 
A15.5,Tuberculosis of larynx trachea and bronchus 
A15.5,Tuberculosis of larynx trachea and bronchus 
A15.5,Tuberculosis of larynx trachea and bronchus 
A15.5,Tuberculosis of larynx trachea and bronchus 
A15.5,Tuberculosis of larynx trachea and bronchus 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.0,Tuberculosis of lung 
A15.6,Tuberculous pleurisy 
A15.6,Tuberculous pleurisy 
A15.6,Tuberculous pleurisy 
A15.6,Tuberculous pleurisy 
A15.6,Tuberculous pleurisy 
A15.6,Tuberculous pleurisy 
A15.6,Tuberculous pleurisy 
A15.4,Tuberculosis of intrathoracic lymph nodes 
A15.4,Tuberculosis of intrathoracic lymph nodes 
A15.4,Tuberculosis of intrathoracic lymph nodes 
A15.4,Tuberculosis of intrathoracic lymph nodes 
A15.4,Tuberculosis of intrathoracic lymph nodes 
A15.4,Tuberculosis of intrathoracic lymph nodes 
A15.4,Tuberculosis of intrathoracic lymph nodes 
A15.5,Tuberculosis of larynx trachea and bronchus 
A15.5,Tuberculosis of larynx trachea and bronchus 
A15.5,Tuberculosis of larynx trachea and bronchus 
A15.5,Tuberculosis of larynx trachea and bronchus 
A15.5,Tuberculosis of larynx trachea and bronchus 
A15.5,Tuberculosis of larynx trachea and bronchus 
A15.5,Tuberculosis of larynx trachea and bronchus 
A15.5,Tuberculosis of larynx trachea and bronchus 
A15.5,Tuberculosis of larynx trachea and bronchus 
A15.5,Tuberculosis of larynx trachea and bronchus 
A15.5,Tuberculosis of larynx trachea and bronchus 
A15.5,Tuberculosis of larynx trachea and bronchus 
A15.5,Tuberculosis of larynx trachea and bronchus 
A15.5,Tuberculosis of larynx trachea and bronchus 
A15.8,Other respiratory tuberculosis 
A15.8,Other respiratory tuberculosis 
A15.8,Other respiratory tuberculosis 
A15.8,Other respiratory tuberculosis 
A15.8,Other respiratory tuberculosis 
A15.8,Other respiratory tuberculosis 
A15.8,Other respiratory tuberculosis 
A17.0,Tuberculous meningitis 
A17.0,Tuberculous meningitis 
A17.0,Tuberculous meningitis 
A17.0,Tuberculous meningitis 
A17.0,Tuberculous meningitis 
A17.0,Tuberculous meningitis 
A17.0,Tuberculous meningitis 
A17.1,Meningeal tuberculoma 
A17.1,Meningeal tuberculoma 
A17.1,Meningeal tuberculoma 
A17.1,Meningeal tuberculoma 
A17.1,Meningeal tuberculoma 
A17.1,Meningeal tuberculoma 
A17.1,Meningeal tuberculoma 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.81,Tuberculoma of brain and spinal cord 
A17.82,Tuberculous meningoencephalitis 
A17.82,Tuberculous meningoencephalitis 
A17.82,Tuberculous meningoencephalitis 
A17.82,Tuberculous meningoencephalitis 
A17.82,Tuberculous meningoencephalitis 
A17.82,Tuberculous meningoencephalitis 
A17.82,Tuberculous meningoencephalitis 
A17.89,Other tuberculosis of nervous system 
A17.89,Other tuberculosis of nervous system 
A17.89,Other tuberculosis of nervous system 
A17.89,Other tuberculosis of nervous system 
A17.89,Other tuberculosis of nervous system 
A17.89,Other tuberculosis of nervous system 
A17.89,Other tuberculosis of nervous system 
A17.9,Tuberculosis of nervous system unspecified 
A17.9,Tuberculosis of nervous system unspecified 
A17.9,Tuberculosis of nervous system unspecified 
A17.9,Tuberculosis of nervous system unspecified 
A17.9,Tuberculosis of nervous system unspecified 
A17.9,Tuberculosis of nervous system unspecified 
A17.9,Tuberculosis of nervous system unspecified 
A18.31,Tuberculous peritonitis 
A18.31,Tuberculous peritonitis 
A18.31,Tuberculous peritonitis 
A18.31,Tuberculous peritonitis 
A18.31,Tuberculous peritonitis 
A18.31,Tuberculous peritonitis 
A18.31,Tuberculous peritonitis 
A18.32,Tuberculous enteritis 
A18.32,Tuberculous enteritis 
A18.32,Tuberculous enteritis 
A18.32,Tuberculous enteritis 
A18.32,Tuberculous enteritis 
A18.32,Tuberculous enteritis 
A18.32,Tuberculous enteritis 
A18.01,Tuberculosis of spine 
A18.01,Tuberculosis of spine 
A18.01,Tuberculosis of spine 
A18.01,Tuberculosis of spine 
A18.01,Tuberculosis of spine 
A18.01,Tuberculosis of spine 
A18.01,Tuberculosis of spine 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.03,Tuberculosis of other bones 
A18.03,Tuberculosis of other bones 
A18.03,Tuberculosis of other bones 
A18.03,Tuberculosis of other bones 
A18.03,Tuberculosis of other bones 
A18.03,Tuberculosis of other bones 
A18.03,Tuberculosis of other bones 
A18.03,Tuberculosis of other bones 
A18.03,Tuberculosis of other bones 
A18.03,Tuberculosis of other bones 
A18.03,Tuberculosis of other bones 
A18.03,Tuberculosis of other bones 
A18.03,Tuberculosis of other bones 
A18.03,Tuberculosis of other bones 
A18.03,Tuberculosis of other bones 
A18.03,Tuberculosis of other bones 
A18.03,Tuberculosis of other bones 
A18.03,Tuberculosis of other bones 
A18.03,Tuberculosis of other bones 
A18.03,Tuberculosis of other bones 
A18.03,Tuberculosis of other bones 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.02,Tuberculous arthritis of other joints 
A18.11,Tuberculosis of kidney and ureter 
A18.11,Tuberculosis of kidney and ureter 
A18.11,Tuberculosis of kidney and ureter 
A18.11,Tuberculosis of kidney and ureter 
A18.11,Tuberculosis of kidney and ureter 
A18.11,Tuberculosis of kidney and ureter 
A18.11,Tuberculosis of kidney and ureter 
A18.12,Tuberculosis of bladder 
A18.12,Tuberculosis of bladder 
A18.12,Tuberculosis of bladder 
A18.12,Tuberculosis of bladder 
A18.12,Tuberculosis of bladder 
A18.12,Tuberculosis of bladder 
A18.12,Tuberculosis of bladder 
A18.11,Tuberculosis of kidney and ureter 
A18.11,Tuberculosis of kidney and ureter 
A18.11,Tuberculosis of kidney and ureter 
A18.11,Tuberculosis of kidney and ureter 
A18.11,Tuberculosis of kidney and ureter 
A18.11,Tuberculosis of kidney and ureter 
A18.11,Tuberculosis of kidney and ureter 
A18.13,Tuberculosis of other urinary organs 
A18.13,Tuberculosis of other urinary organs 
A18.13,Tuberculosis of other urinary organs 
A18.13,Tuberculosis of other urinary organs 
A18.13,Tuberculosis of other urinary organs 
A18.13,Tuberculosis of other urinary organs 
A18.13,Tuberculosis of other urinary organs 
A18.15,Tuberculosis of other male genital organs 
A18.15,Tuberculosis of other male genital organs 
A18.15,Tuberculosis of other male genital organs 
A18.15,Tuberculosis of other male genital organs 
A18.15,Tuberculosis of other male genital organs 
A18.15,Tuberculosis of other male genital organs 
A18.15,Tuberculosis of other male genital organs 
A18.15,Tuberculosis of other male genital organs 
A18.15,Tuberculosis of other male genital organs 
A18.15,Tuberculosis of other male genital organs 
A18.15,Tuberculosis of other male genital organs 
A18.15,Tuberculosis of other male genital organs 
A18.15,Tuberculosis of other male genital organs 
A18.15,Tuberculosis of other male genital organs 
A18.17,Tuberculous female pelvic inflammatory disease 
A18.17,Tuberculous female pelvic inflammatory disease 
A18.17,Tuberculous female pelvic inflammatory disease 
A18.17,Tuberculous female pelvic inflammatory disease 
A18.17,Tuberculous female pelvic inflammatory disease 
A18.17,Tuberculous female pelvic inflammatory disease 
A18.17,Tuberculous female pelvic inflammatory disease 
A18.18,Tuberculosis of other female genital organs 
A18.18,Tuberculosis of other female genital organs 
A18.18,Tuberculosis of other female genital organs 
A18.18,Tuberculosis of other female genital organs 
A18.18,Tuberculosis of other female genital organs 
A18.18,Tuberculosis of other female genital organs 
A18.18,Tuberculosis of other female genital organs 
A18.10,Tuberculosis of genitourinary system unspecified 
A18.10,Tuberculosis of genitourinary system unspecified 
A18.10,Tuberculosis of genitourinary system unspecified 
A18.10,Tuberculosis of genitourinary system unspecified 
A18.10,Tuberculosis of genitourinary system unspecified 
A18.10,Tuberculosis of genitourinary system unspecified 
A18.10,Tuberculosis of genitourinary system unspecified 
A18.4,Tuberculosis of skin and subcutaneous tissue 
A18.4,Tuberculosis of skin and subcutaneous tissue 
A18.4,Tuberculosis of skin and subcutaneous tissue 
A18.4,Tuberculosis of skin and subcutaneous tissue 
A18.4,Tuberculosis of skin and subcutaneous tissue 
A18.4,Tuberculosis of skin and subcutaneous tissue 
A18.4,Tuberculosis of skin and subcutaneous tissue 
A18.4,Tuberculosis of skin and subcutaneous tissue 
A18.4,Tuberculosis of skin and subcutaneous tissue 
A18.4,Tuberculosis of skin and subcutaneous tissue 
A18.4,Tuberculosis of skin and subcutaneous tissue 
A18.4,Tuberculosis of skin and subcutaneous tissue 
A18.4,Tuberculosis of skin and subcutaneous tissue 
A18.4,Tuberculosis of skin and subcutaneous tissue 
A18.2,Tuberculous peripheral lymphadenopathy 
A18.2,Tuberculous peripheral lymphadenopathy 
A18.2,Tuberculous peripheral lymphadenopathy 
A18.2,Tuberculous peripheral lymphadenopathy 
A18.2,Tuberculous peripheral lymphadenopathy 
A18.2,Tuberculous peripheral lymphadenopathy 
A18.2,Tuberculous peripheral lymphadenopathy 
A18.50,Tuberculosis of eye unspecified 
A18.51,Tuberculous episcleritis 
A18.51,Tuberculous episcleritis 
A18.51,Tuberculous episcleritis 
A18.51,Tuberculous episcleritis 
A18.51,Tuberculous episcleritis 
A18.51,Tuberculous episcleritis 
A18.6,Tuberculosis of (inner) (middle) ear 
A18.6,Tuberculosis of (inner) (middle) ear 
A18.6,Tuberculosis of (inner) (middle) ear 
A18.6,Tuberculosis of (inner) (middle) ear 
A18.6,Tuberculosis of (inner) (middle) ear 
A18.6,Tuberculosis of (inner) (middle) ear 
A18.6,Tuberculosis of (inner) (middle) ear 
A18.81,Tuberculosis of thyroid gland 
A18.81,Tuberculosis of thyroid gland 
A18.81,Tuberculosis of thyroid gland 
A18.81,Tuberculosis of thyroid gland 
A18.81,Tuberculosis of thyroid gland 
A18.81,Tuberculosis of thyroid gland 
A18.81,Tuberculosis of thyroid gland 
A18.7,Tuberculosis of adrenal glands 
A18.7,Tuberculosis of adrenal glands 
A18.7,Tuberculosis of adrenal glands 
A18.7,Tuberculosis of adrenal glands 
A18.7,Tuberculosis of adrenal glands 
A18.7,Tuberculosis of adrenal glands 
A18.7,Tuberculosis of adrenal glands 
A18.85,Tuberculosis of spleen 
A18.85,Tuberculosis of spleen 
A18.85,Tuberculosis of spleen 
A18.85,Tuberculosis of spleen 
A18.85,Tuberculosis of spleen 
A18.85,Tuberculosis of spleen 
A18.85,Tuberculosis of spleen 
A18.89,Tuberculosis of other sites 
A18.89,Tuberculosis of other sites 
A18.89,Tuberculosis of other sites 
A18.89,Tuberculosis of other sites 
A18.89,Tuberculosis of other sites 
A18.89,Tuberculosis of other sites 
A18.89,Tuberculosis of other sites 
A18.84,Tuberculosis of heart 
A18.89,Tuberculosis of other sites 
A18.89,Tuberculosis of other sites 
A18.89,Tuberculosis of other sites 
A18.89,Tuberculosis of other sites 
A18.89,Tuberculosis of other sites 
A18.89,Tuberculosis of other sites 
A19.2,Acute miliary tuberculosis unspecified 
A19.2,Acute miliary tuberculosis unspecified 
A19.2,Acute miliary tuberculosis unspecified 
A19.2,Acute miliary tuberculosis unspecified 
A19.2,Acute miliary tuberculosis unspecified 
A19.2,Acute miliary tuberculosis unspecified 
A19.2,Acute miliary tuberculosis unspecified 
A19.8,Other miliary tuberculosis 
A19.8,Other miliary tuberculosis 
A19.8,Other miliary tuberculosis 
A19.8,Other miliary tuberculosis 
A19.8,Other miliary tuberculosis 
A19.8,Other miliary tuberculosis 
A19.8,Other miliary tuberculosis 
A19.9,Miliary tuberculosis unspecified 
A19.9,Miliary tuberculosis unspecified 
A19.9,Miliary tuberculosis unspecified 
A19.9,Miliary tuberculosis unspecified 
A19.9,Miliary tuberculosis unspecified 
A19.9,Miliary tuberculosis unspecified 
A19.9,Miliary tuberculosis unspecified 
A20.0,Bubonic plague 
A20.1,Cellulocutaneous plague 
A20.7,Septicemic plague 
A20.2,Pneumonic plague 
A20.2,Pneumonic plague 
A20.2,Pneumonic plague 
A20.8,Other forms of plague 
A20.9,Plague unspecified 
A21.0,Ulceroglandular tularemia 
A21.3,Gastrointestinal tularemia 
A21.2,Pulmonary tularemia 
A21.1,Oculoglandular tularemia 
A21.8,Other forms of tularemia 
A21.9,Tularemia unspecified 
A22.0,Cutaneous anthrax 
A22.1,Pulmonary anthrax 
A22.2,Gastrointestinal anthrax 
A22.7,Anthrax sepsis 
A22.8,Other forms of anthrax 
A22.9,Anthrax unspecified 
A23.0,Brucellosis due to Brucella melitensis 
A23.1,Brucellosis due to Brucella abortus 
A23.2,Brucellosis due to Brucella suis 
A23.3,Brucellosis due to Brucella canis 
A23.8,Other brucellosis 
A23.9,Brucellosis unspecified 
A24.0,Glanders 
A24.3,Other melioidosis 
A25.0,Spirillosis 
A25.1,Streptobacillosis 
A25.9,Rat-bite fever unspecified 
A32.11,Listerial meningitis 
A26.8,Other forms of erysipeloid 
A28.0,Pasteurellosis 
A28.8,Other specified zoonotic bacterial diseases not elsewhere classified 
A28.9,Zoonotic bacterial disease unspecified 
A30.5,Lepromatous leprosy 
A30.1,Tuberculoid leprosy 
A30.0,Indeterminate leprosy 
A30.3,Borderline leprosy 
A30.8,Other forms of leprosy 
A30.9,Leprosy unspecified 
A31.0,Pulmonary mycobacterial infection 
A31.1,Cutaneous mycobacterial infection 
A31.2,Disseminated mycobacterium avium-intracellulare complex (DMAC) 
A31.8,Other mycobacterial infections 
A31.9,Mycobacterial infection unspecified 
A36.0,Pharyngeal diphtheria 
A36.1,Nasopharyngeal diphtheria 
A36.89,Other diphtheritic complications 
A36.2,Laryngeal diphtheria 
A36.86,Diphtheritic conjunctivitis 
A36.81,Diphtheritic cardiomyopathy 
A36.89,Other diphtheritic complications 
A36.85,Diphtheritic cystitis 
A36.3,Cutaneous diphtheria 
A36.82,Diphtheritic radiculomyelitis 
A36.9,Diphtheria unspecified 
A37.00,Whooping cough due to Bordetella pertussis without pneumonia 
A37.10,Whooping cough due to Bordetella parapertussis without pneumonia 
A37.80,Whooping cough due to other Bordetella species without pneumonia 
A37.90,Whooping cough unspecified species without pneumonia 
J02.0,Streptococcal pharyngitis 
A38.9,Scarlet fever uncomplicated 
A46,Erysipelas 
A39.0,Meningococcal meningitis 
A39.81,Meningococcal encephalitis 
A39.4,Meningococcemia unspecified 
A39.1,Waterhouse-Friderichsen syndrome 
A39.50,Meningococcal carditis unspecified 
A39.53,Meningococcal pericarditis 
A39.51,Meningococcal endocarditis 
A39.52,Meningococcal myocarditis 
A39.82,Meningococcal retrobulbar neuritis 
A39.83,Meningococcal arthritis 
A39.89,Other meningococcal infections 
A39.9,Meningococcal infection unspecified 
A35,Other tetanus 
A40.9,Streptococcal sepsis unspecified 
A41.2,Sepsis due to unspecified staphylococcus 
A41.01,Sepsis due to Methicillin susceptible Staphylococcus aureus 
A41.02,Sepsis due to Methicillin resistant Staphylococcus aureus 
A41.1,Sepsis due to other specified staphylococcus 
A40.3,Sepsis due to Streptococcus pneumoniae 
A41.4,Sepsis due to anaerobes 
A41.50,Gram-negative sepsis unspecified 
A41.3,Sepsis due to Hemophilus influenzae 
A41.51,Sepsis due to Escherichia coli [E. coli] 
A41.52,Sepsis due to Pseudomonas 
A41.53,Sepsis due to Serratia 
A41.59,Other Gram-negative sepsis 
A41.89,Other specified sepsis 
A41.9,Sepsis unspecified organism 
L08.1,Erythrasma 
A42.0,Pulmonary actinomycosis 
A42.1,Abdominal actinomycosis 
A42.2,Cervicofacial actinomycosis 
B47.9,Mycetoma unspecified 
A42.89,Other forms of actinomycosis 
A42.9,Actinomycosis unspecified 
A48.0,Gas gangrene 
A48.8,Other specified bacterial diseases 
K90.81,Whipple's disease 
A48.8,Other specified bacterial diseases 
A48.51,Infant botulism 
A48.52,Wound botulism 
M60.009,Infective myositis unspecified site 
A48.3,Toxic shock syndrome 
A48.8,Other specified bacterial diseases 
B95.5,Unspecified streptococcus as the cause of diseases classified elsewhere 
B95.0,Streptococcus group A as the cause of diseases classified elsewhere 
B95.1,Streptococcus group B as the cause of diseases classified elsewhere 
B95.4,Other streptococcus as the cause of diseases classified elsewhere 
B95.2,Enterococcus as the cause of diseases classified elsewhere 
B95.4,Other streptococcus as the cause of diseases classified elsewhere 
B95.4,Other streptococcus as the cause of diseases classified elsewhere 
B95.8,Unspecified staphylococcus as the cause of diseases classified elsewhere 
B95.61,Methicillin susceptible Staphylococcus aureus infection as the cause of diseases classified elsewhere 
B95.62,Methicillin resistant Staphylococcus aureus infection as the cause of diseases classified elsewhere 
B95.7,Other staphylococcus as the cause of diseases classified elsewhere 
B95.3,Streptococcus pneumoniae as the cause of diseases classified elsewhere 
B96.1,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere 
B96.21,Shiga toxin-producing Escherichia coli [E. coli] (STEC) O157 as the cause of diseases classified elsewhere 
B96.22,Other specified Shiga toxin-producing Escherichia coli [E. coli] (STEC) as the cause of diseases classified elsewhere 
B96.23,Unspecified Shiga toxin-producing Escherichia coli [E. coli] (STEC) as the cause of diseases classified elsewhere 
B96.20,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere 
B96.3,Hemophilus influenzae [H. influenzae] as the cause of diseases classified elsewhere 
B96.4,Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere 
B96.5,Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere 
A49.3,Mycoplasma infection unspecified site 
B96.6,Bacteroides fragilis [B. fragilis] as the cause of diseases classified elsewhere 
B96.7,Clostridium perfringens [C. perfringens] as the cause of diseases classified elsewhere 
B96.89,Other specified bacterial agents as the cause of diseases classified elsewhere 
B96.89,Other specified bacterial agents as the cause of diseases classified elsewhere 
B96.81,Helicobacter pylori [H. pylori] as the cause of diseases classified elsewhere 
B96.89,Other specified bacterial agents as the cause of diseases classified elsewhere 
B96.89,Other specified bacterial agents as the cause of diseases classified elsewhere 
B20,Human immunodeficiency virus [HIV] disease 
A80.39,Other acute paralytic poliomyelitis 
A80.39,Other acute paralytic poliomyelitis 
A80.39,Other acute paralytic poliomyelitis 
A80.39,Other acute paralytic poliomyelitis 
A80.39,Other acute paralytic poliomyelitis 
A80.39,Other acute paralytic poliomyelitis 
A80.39,Other acute paralytic poliomyelitis 
A80.39,Other acute paralytic poliomyelitis 
A80.4,Acute nonparalytic poliomyelitis 
A80.4,Acute nonparalytic poliomyelitis 
A80.4,Acute nonparalytic poliomyelitis 
A80.4,Acute nonparalytic poliomyelitis 
A80.9,Acute poliomyelitis unspecified 
A80.9,Acute poliomyelitis unspecified 
A80.9,Acute poliomyelitis unspecified 
A80.9,Acute poliomyelitis unspecified 
A81.81,Kuru 
A81.01,Variant Creutzfeldt-Jakob disease 
A81.00,Creutzfeldt-Jakob disease unspecified 
A81.1,Subacute sclerosing panencephalitis 
A81.2,Progressive multifocal leukoencephalopathy 
A81.82,Gerstmann-Straussler-Scheinker syndrome 
A81.83,Fatal familial insomnia 
A81.89,Other atypical virus infections of central nervous system 
A81.89,Other atypical virus infections of central nervous system 
A81.9,Atypical virus infection of central nervous system unspecified 
A87.0,Enteroviral meningitis 
A87.0,Enteroviral meningitis 
A87.8,Other viral meningitis 
A87.9,Viral meningitis unspecified 
